Programma=[Retail],Vista distributore=[Approvvigionamento],Visualizza per=[ASIN],Paesi=[IT],Aziende=[Naturwaren Italia srl],Lingua=[it_IT],Valuta=[EUR],Intervallo report=[Personalizzato],Intervallo di visualizzazione=[01/10/24 - 31/10/24],Report aggiornato=[09/12/25]
ASIN,"Titolo del prodotto",Marchio,"Ricavi spedizioni","COGS spedizioni","Unità spedite","Resi cliente"
B0B5CLP929,"Dr Theiss Crema Arnica e Artiglio Del Diavolo 50 ml - Pomata Gel che Dona Sollievo e Benessere muscoli articolazioni, Prima e Dopo Sport e Allenamento, Sia Donna che Uomo","Dr. Theiss","25,04 €","41,76 €",4,
B0BFX1ZLLG,"Dr Theiss CALCIUM ENERGIE Calcio Integratore Alimentare al Gusto di Limone 20 Compresse Effervescenti - Per Uomo e Donna per la Funzionalità delle Ossa, del Metabolismo e degli Enzimi Digestivi","Dr. Theiss","24,46 €","37,86 €",6,
B09Z74V7L6,"Dr. Theiss Arnica Lozione Spray 100 ml - Estratto Arnica Montana per Corpo e Pelle di Braccia, Gambe, Schiena, Cervicale (Olio di Rosmarino, Salvia, Pino Mugo e Mentolo)","Dr. Theiss","19,45 €","24,60 €",4,
B0DFHP8V3P,"Dr. Theiss Bonbon fiori di tiglio e limone con vitamina C - SENZA ZUCCHERI Caramelle vitaminiche, 75 g - benefiche per la gola","Dr. Theiss","18,48 €","12,18 €",7,
B08D6TBDY3,"Lacalut Aktiv Protezione Gengivale & Bianco Delicato - Dentifricio Sbiancante al Fluoro 75 ml - Gengive Sane, Protegge dalla Carie, Contrasta Fastidi",Lacalut,"17,45 €","14,40 €",2,
B0CHFWHRPQ,"Lacalut Dentifricio per bambini, gusto di Lampone e Banana, 55 ml",Medipharmacosmetics,"17,06 €","18,00 €",9,
B0CJFKXJ9J,"Olivenol crema mani Rosé. Anti età per mani secche e screpolate. Con olio di jojoba, acido ialuronico e pantenolo. Nutre ed idrata. Pelle sensibile ipoallergenica. Non unge. Crema vegana 50ml",Medipharmacosmetics,"16,40 €","10,00 €",4,
B09RKTSRZL,"Allga San Spirito Gallico - Spray Massaggio Schiena, Gambe, Cervicale e Braccia 100 ml - Frizione Coadiuvante per la Pelle del Corpo ad Azione Balsamica e Rinfrescante, con Oli Essenziali",AllgaSan,"16,12 €","21,32 €",4,
B0CKF3SW6Y,"Bagnoschiuma White Harmony Mousse Home Spa - gel doccia naturale per pulizia profonda e delicata con aloe - senza parabeni e siliconi - idea regalo - 200 ml",Medipharmacosmetics,"14,76 €","10,80 €",2,
B08D6SW7GR,"Dr. Theiss Mucoplant Piantaggine 250 ml - Sciroppo Gola e Vie Respiratorie, con Calmanti Naturali (Miele, Melassa, Menta Piperita e Piantaggine)",Dr.Theiss,"9,72 €","8,27 €",1,
B0CJFMT54Y,"Olivenol crema mani. Pelle secca e screpolata. Con olio d'oliva olio di jojoba. Idratazione nutrimento alla pelle delle mani. Ipoallergenica pelle sensibile. Crema vegana 50ml",Medipharmacosmetics,"8,20 €","5,00 €",2,
B08L4JNM5H,"Allga San Akut Dolor -Arnica per cavalli uso umano Arnica Gel Forte 100 ml, Utilizzabile Come Crema per Dolori Articolari e Muscolari, Ideale per Massaggio, con Canfora","Allga San","7,12 €","6,56 €",1,
B0BFX3ZQ5Y,"LACALUT Scovolini Dentali Blister 5 Pezzi, Spazzolino Interdentale con Copri Scovolino Denti Igienico Colore Rosa, Morbido Massaggia Gengive Sensibili, Utile Contro Placca, Carie e Alitosi",Lacalut,"2,86 €","4,20 €",1,
